,Heating,Cooling,Country
2962,0,32256.34,CUB
2963,84844.44,1.89,USA
2964,62450.27,7799.36,USA
2965,53203.06,419.72,CAN
2966,105046.72,5778.97,CHN
2967,30786.2,6263.42,USA
2968,25965.56,14338.96,USA
2969,11346.68,8746.76,ITA
2970,9526.87,17669.48,CHN
2971,139.34,24606.01,BRA
2972,3254.02,6898.83,USA
2973,0.44,25127.03,BRA
2974,4998.84,29086.03,USA
2975,3585.64,8495.12,USA
2976,11705.08,18912.32,USA
2977,49249.38,11284.74,USA
2978,4.26,24904.73,BRA
2979,22440.19,11078.48,USA
2980,89818.74,4699.39,CHN
2981,0,37196.87,HND
2982,22590.01,3181.7,USA
2983,22041.88,17547.57,USA
2984,12.59,26760.74,USA
2985,35579.57,12729.95,USA
2986,7562.34,21923.71,USA
2987,10312.7,3923.29,USA
2988,134058.87,3393.75,RUS
2989,35829.81,7983.27,USA
2990,49648.39,5203.32,USA
2991,16772.28,11483.29,USA
2992,97471.26,2468.08,CAN
2993,9062.35,26113.11,USA
2994,158710.06,847.24,USA
2995,29102.1,13341.66,USA
2996,14389.11,2013.5,ESP
2997,40908.63,5111.58,SVK
2998,152.96,45330.77,IND
2999,49906.67,2729.68,POL
3000,7575.62,6317.06,CHN
3001,20313.87,4001.1,USA
3002,19907.79,14286.63,USA
3003,4445.42,8969.88,USA
3004,11756.36,17878.56,USA
3005,14227.4,17422.16,CHN
3006,7056.1,21953.75,USA
3007,29734.13,7974.1,BGR
3008,65130.87,4376.05,USA
3009,17095.43,13467.01,USA
3010,72107.83,6335.79,USA
3011,0,22611.11,BRA
3012,56043.27,2589.78,POL
3013,11442.35,19445.53,USA
3014,102.11,15905.37,BRA
3015,94186.89,5389.96,USA
3016,2187.23,12474.23,CHN
3017,57966.98,5357.96,USA
3018,51690.84,3487.61,POL
3019,41311.63,8922.38,USA
3020,25654.86,13602.65,CHN
3021,49461.82,5005.75,USA
3022,25404.45,4874.42,ESP
3023,46766.33,9368.74,USA
3024,27.85,16563.62,BRA
3025,1889.72,28975.9,USA
3026,44426.02,10616.28,USA
3027,5186.94,4635.82,BRA
3028,25475.5,13439.91,CHN
3029,3516.48,8298.67,BRA
3030,8724.05,5883.68,USA
3031,1261.2,37794.47,IND
3032,78897.79,2033.22,RUS
