,LOCATION,ID,CZ,Heating,Cooling,Country,File_name,Total Energy
1041,PROVIDENCE T F GREEN STATE AR,725070,5A,40937.16,6779.42,USA,USA_RI_Providence-T.F.Green.State.AP.725070_TMY3,47716.58
1042,ANDERSON COUNTY AP,723125,3A,19652.25,13267.26,USA,USA_SC_Anderson.County.AP.723125_TMY3,32919.51
1043,BEAUFORT MCAS,722085,2A,9731.1,18169.33,USA,USA_SC_Beaufort.MCAS.722085_TMY3,27900.43
1044,CHARLESTON INTL ARPT,722080,3A,10677.32,15466.59,USA,USA_SC_Charleston.Intl.AP.722080_TMY,26143.91
1045,CHARLESTON INTL ARPT,722080,3A,10977.79,15511.25,USA,USA_SC_Charleston.722080_TMY2,26489.04
1046,CHARLESTON INTL ARPT,722080,3A,10029.55,18542.83,USA,USA_SC_Charleston.Intl.AP.722080_TMY3,28572.38
1047,COLUMBIA METRO ARPT,723100,3A,15013.67,16037.52,USA,USA_SC_Columbia.Metro.AP.723100_TMY,31051.19
1048,COLUMBIA METRO ARPT,723100,3A,15580.16,15786.85,USA,USA_SC_Columbia.723100_TMY2,31367.01
1049,COLUMBIA METRO ARPT,723100,3A,14006.15,17031.65,USA,USA_SC_Columbia.Metro.AP.723100_TMY3,31037.8
1050,FLORENCE REGIONAL AP,723106,3A,11904.54,18044.17,USA,USA_SC_Florence.Rgnl.AP.723106_TMY3,29948.71
1051,GREER GREENV'L-SPARTANBRG AP,723120,3A,18541.5,12797.58,USA,USA_SC_Greenville-Spartanburg.723120_TMY2,31339.08
1052,GREER GREENV'L-SPARTANBRG AP,723120,3A,18036.5,11949.66,USA,USA_SC_Greer.Greenville-Spartanburg.AP.723120_TMY,29986.16
1053,GREER GREENV'L-SPARTANBRG AP,723120,3A,17104.79,13314.32,USA,USA_SC_Greer.Greenville-Spartanburg.AP.723120_TMY3,30419.11
1054,MYRTLE BEACH AFB,747910,3A,11459.75,15944.98,USA,USA_SC_Myrtle.Beach.AFB.747910_TMY3,27404.73
