,Heating,Cooling,Country,File_name,ID
2327,19633.61,16088.49,USA,USA_TX_Childress.Muni.AP.723604_TMY3,723604
2328,39.35,16274.63,KEN,KEN_Kakamega.636870_SWERA,636870
2329,47132.84,8206.82,USA,USA_ID_Malad.City.AP.725786_TMY3,725786
2330,0,41685.81,BRA,BRA_MA_Farol.Preguicas.817170_INMET,817170
2331,253.67,20208.74,BRA,BRA_SP_Jose.Bonifacio.868390_INMET,868390
2332,16156.6,14071.92,USA,USA_AL_Muscle.Shoals.Rgnl.AP.723235_TMY3,723235
2333,16632.34,5616.47,ESP,ESP_Gerona.081840_SWEC,81840
2334,4012.78,23293.05,USA,USA_FL_Jacksonville.NAS.722065_TMY3,722065
2335,11749.07,8051.97,ITA,ITA_Napoli-Capodichino.162890_IGDG,162890
2336,46897.93,1201.01,DNK,DNK_Copenhagen.061800_IWEC,61800
2337,6798.26,8186.05,USA,USA_CA_Camp.Pendleton.MCAS.722926_TMY3,722926
2338,19630.86,16130.16,USA,USA_AR_Little.Rock.723405_TMY2,723405
2339,50274,8279.96,USA,USA_NE_Kearney.Muni.AWOS.725526_TMY3,725526
2340,82361.92,3885.62,CAN,CAN_ON_Muskoka.716300_CWEC,716300
2341,35137.57,6829.38,KOR,KOR_Inchon.471120_IWEC,471120
2342,82427.88,9825.43,CHN,CHN_Xinjiang.Uygur.Jinghe.513340_CSWD,513340
2343,5149.04,3809.32,BRA,BRA_MG_Monte.Verde.AP.868700_INMET,868700
2344,29758.65,2307.29,NZL,NZL_Queenstown.Lakes-Queenstown.QL.938310_NIWA,938310
2345,93836.16,4660.01,USA,USA_MN_Bemidji.Muni.AP.727550_TMY3,727550
2346,24457.75,5250.47,USA,USA_OR_Salem-McNary.Field.726940_TMY3,726940
2347,7981.36,22206.9,USA,USA_TX_Hondo.Muni.AP.722533_TMY3,722533
2348,56996.17,5557.16,USA,USA_NH_Laconia.Muni.AWOS.726155_TMY3,726155
2349,4.42,28059.49,BRA,BRA_MT_Juina.866240_INMET,866240
2350,18624.31,2785.75,AUS,AUS_TAS.Launceston.Airport.949680_RMY,949680
2351,70957.25,1554.44,SWE,SWE_Karlstad.024180_IWEC,24180
2352,0,27612.31,BRA,BRA_SE_Itabaianinha.866380_INMET,866380
2353,56369.88,2076.69,POL,POL_Leszno.124180_IMGW,124180
2354,7926.28,11915,AUS,AUS_VIC.Mildura.Airport.946930_RMY,946930
2355,35752.55,13207.58,USA,USA_KS_Wichita-Col.Jabara.Field.724504_TMY3,724504
2356,38345.34,10866.46,USA,USA_KS_Garden.City.Muni.AP.724515_TMY3,724515
2357,0,38986.51,BRA,BRA_PA_Salinopolis.816600_INMET,816600
2358,0,32681.35,BRA,BRA_MA_Balsas.819030_INMET,819030
2359,0,39363.09,BRA,BRA_AL_Pao.de.Acucar.819940_INMET,819940
2360,12928.68,5587.52,USA,USA_CA_Napa.County.AP.724955_TMY3,724955
2361,102563.72,2960.42,CHN,CHN_Nei.Mongol.Huade.533910_SWERA,533910
2362,249.54,20739.49,BRA,BRA_MS_Campo.Grande.Intl.AP.868100_INMET,868100
2363,6612.02,9512.08,CHN,CHN_Sichuan.Xichang.565710_CSWD,565710
2364,0.06,23763.79,USA,USA_HI_Hilo.Intl.AP.912850_TMY3,912850
2365,9272.6,20389.73,USA,USA_TX_Lufkin-Angelina.Co.AP.722446_TMY3,722446
2366,24803.43,1418.75,USA,USA_OR_Astoria.727910_TMY2,727910
2367,7549.89,8794,ESP,ESP_Valencia.082840_SWEC,82840
2368,9407.94,10418.12,ISR,ISR_Jerusalem.401840_IWEC,401840
2369,32541.32,1740.16,NLD,NLD_Amsterdam.062400_IWEC,62400
2370,13728.71,2448.33,AUS,AUS_TAS.Hobart-Ellerslie.Road.949700_RMY,949700
2371,0,37866.3,BRA,BRA_RN_Touros.818380_INMET,818380
2372,57432.29,2571.8,POL,POL_Siedlce.123850_IMGW,123850
2373,7599.13,9038.13,ESP,ESP_Castellon.082860_SWEC,82860
2374,73806.6,5033.53,USA,USA_CO_Craig.Moffat.AP.725700_TMY3,725700
2375,36901.16,8555.26,USA,USA_KY_Cincinnati-Northern.Kentucky.AP.724210_TMY,724210
2376,33977.08,3342.66,ESP,ESP_Soria.081480_SWEC,81480
2377,43417.15,7285.75,USA,USA_PA_Pittsburgh.Intl.AP.725200_TMY3,725200
2378,0.31,33376.25,BRA,BRA_BA_Ibotirama.866530_INMET,866530
2379,16042.58,14369.77,USA,USA_NC_Charlotte-Douglas.Intl.AP.723140_TMY3,723140
2380,18253.33,8941.5,CHN,CHN_Sichuan.Wanyuan.572370_CSWD,572370
2381,14256.44,14302.15,USA,USA_NM_Truth.or.Consequences.Muni.AP.722710_TMY3,722710
2382,70.79,35430.39,IND,IND_Aurangabad.430140_ISHRAE,430140
2383,4043.89,31154.52,USA,USA_AZ_Luke.AFB.722785_TMY3,722785
2384,55942.34,4334.11,USA,USA_MT_Missoula.Intl.AP.727730_TMY,727730
2385,30905.28,7269.83,ITA,ITA_Parma.161300_IGDG,161300
2386,14.24,28885.31,BRA,BRA_AC_Parque.Chandless.819630_INMET,819630
2387,59820.47,8413.28,USA,USA_IA_Sheldon.Muni.AP.725495_TMY3,725495
2388,0.18,21396.2,BRA,BRA_PE_Arcoverde.819530_INMET,819530
2389,57531.62,3031.06,POL,POL_Rzeszow.Jasionka.125800_IMGW,125800
2390,54488.14,8854.03,CHN,CHN_Hebei.Huailai.544050_CSWD,544050
2391,81655.53,6012.4,USA,USA_IA_Mason.City.725485_TMY2,725485
2392,24915.73,12344.9,USA,USA_VA_Farmville.Muni.AP.724017_TMY3,724017
2393,157.41,19766.59,BRA,BRA_SP_Lins.868400_INMET,868400
2394,22791.59,14285.56,USA,USA_AR_Walnut.Ridge.AWOS.723406_TMY3,723406
